ResourceNo,ResourceType,CultureName,ResourceKey,ResourceValue,InitBy,InitDate,ChangedBy,ChangedDate
2345,ValidationMessages,fr-CA,FrenchNameIsUnique,Le nom français n'est pas unique,pat,2011-04-06 00:00:00,HThomas,2011-12-13 13:35:00
2346,ValidationMessages,fr-CA,AmountZero,Le montant ne doit pas être zéro.,pat,2011-04-06 00:00:00,daghern,2011-11-30 06:47:00
2347,ValidationMessages,fr-CA,MonthIsClosed,Mois fermé.,pat,2011-04-06 00:00:00,HThomas,2011-12-08 14:12:00
2348,ValidationMessages,fr-CA,TransactionReversed,"Transaction déjà contre-passée, elle ne peut faire l'objet que d'une seule contre-passation.",pat,2011-04-06 00:00:00,HThomas,2017-06-29 09:26:00
2349,ValidationMessages,fr-CA,ReverseReversalNotAllowed,Impossible de contre-passer une contre-passation.,pat,2011-04-06 00:00:00,HThomas,2017-06-29 09:24:00
2350,ValidationMessages,fr-CA,TransactionNotReversedForRepost,Seules les écritures des transactions contre-passées peuvent être réinscrites.,pat,2011-04-06 00:00:00,HThomas,2017-06-29 09:24:00
2351,ValidationMessages,fr-CA,TransactionReposted,"Transaction déjà réécrite, elle ne peut pas être réécrite à nouveau.",pat,2011-04-06 00:00:00,HThomas,2011-12-14 09:00:00
2352,ValidationMessages,fr-CA,NonLeaseHoldersUnderAge,Seuls les résidents âgés de moins de 18 ans peuvent être inscrits sur le bail comme occupants.,pat,2011-04-06 00:00:00,HThomas,2015-06-04 14:03:00
2353,ValidationMessages,fr-CA,AccountNotExistOrClosed,Le compte est soit inexistant soit fermé.,pat,2011-04-06 00:00:00,daghern,2011-11-29 13:24:00
2354,ValidationMessages,fr-CA,OnlyOneAmountAllowed,Un mode seulement : débit ou crédit.,pat,2011-04-06 00:00:00,HThomas,2011-12-13 08:24:00
2355,ValidationMessages,fr-CA,PleaseSelectA,Veuillez sélectionner un(e) {0}.,pat,2011-04-06 00:00:00,daghern,2012-07-17 13:01:00
2356,ValidationMessages,fr-CA,PleaseFocusARecord,Veuillez sélectionner un dossier.,pat,2011-04-06 00:00:00,daghern,2012-07-17 13:02:00
2357,ValidationMessages,fr-CA,TransactionReversedByOthers,"Transaction contre-passée par d'autres, elle ne peut faire l'objet que d'une seule contre-passation. ",pat,2011-04-06 00:00:00,HThomas,2017-06-29 09:27:00
2913,CommonTerms,fr-CA,OfficeNumber,Téléphone (travail),pat,2011-04-06 00:00:00,daghern,2012-05-03 12:42:00
25,CommonTerms,fr-CA,RegionalOffice,Bureau régional,pat,2011-04-06 00:00:00,HThomas,2011-12-07 11:46:00
2109,Labels,fr-CA,OK,OK:,pat,2011-04-06 00:00:00,HThomas,2011-12-13 07:57:00
2110,Labels,fr-CA,OneWeb," Web unique :",pat,2011-04-06 00:00:00,HThomas,2011-12-13 08:21:00
2111,Labels,fr-CA,OnHold,En suspens,pat,2011-04-06 00:00:00,HThomas,2011-12-13 08:22:00
2112,Labels,fr-CA,OnWeb,Sur le Web :,pat,2011-04-06 00:00:00,HThomas,2011-12-13 08:23:00
2113,Labels,fr-CA,ParkingStallType,Catégorie d'espaces de stationnement :,pat,2011-04-06 00:00:00,HThomas,2015-06-08 11:33:00
2114,Labels,fr-CA,Password,Mot de passe,pat,2011-04-06 00:00:00,daghern,2015-03-05 13:44:00
2115,Labels,fr-CA,PetRent,Frais pour l'animal :,pat,2011-04-06 00:00:00,HThomas,2011-12-13 07:45:00
2116,Labels,fr-CA,Phone,Téléphone :,pat,2011-04-06 00:00:00,HThomas,2011-12-13 07:46:00
2117,Labels,fr-CA,PhoneNumber,Telephone # :,pat,2011-04-06 00:00:00,SStJean,2021-08-21 13:35:00
2118,Labels,fr-CA,PostalCode,Code postal :,pat,2011-04-06 00:00:00,HThomas,2011-12-08 11:50:00
2119,Labels,fr-CA,Prefix,Préfixe :,pat,2011-04-06 00:00:00,HThomas,2011-12-08 09:40:00
2120,Labels,fr-CA,PrintIntercom,Imprimer la liste d'interphone :,pat,2011-04-06 00:00:00,ndagher,2015-10-23 09:39:00
2121,Labels,fr-CA,PrintParkingRentRoll,Imprimer la liste de location d'espaces de stationnement,pat,2011-04-06 00:00:00,HThomas,2011-12-08 09:50:00
2122,Labels,fr-CA,PrintPhoneList,Imprimer la liste téléphonique,pat,2011-04-06 00:00:00,HThomas,2012-01-05 07:23:00
2123,Labels,fr-CA,Project,Projet :,pat,2011-04-06 00:00:00,HThomas,2011-12-08 09:54:00
2124,Labels,fr-CA,ProjectCode,Code du projet :,pat,2011-04-06 00:00:00,daghern,2012-01-04 12:00:00
2125,Labels,fr-CA,ProjectName,Nom du projet :,pat,2011-04-06 00:00:00,HThomas,2011-12-08 09:59:00
2126,Labels,fr-CA,Province,Province :,pat,2011-04-06 00:00:00,HThomas,2011-12-07 13:06:00
2127,Labels,fr-CA,ProvinceID,ID de la Province :,pat,2011-04-06 00:00:00,HThomas,2011-12-07 11:20:00
2128,Labels,fr-CA,DYNumber,NuméroDY :,pat,2011-04-06 00:00:00,daghern,2011-12-13 08:19:00
2129,Labels,fr-CA,LeaseHolder,Détenteur du bail :,pat,2011-04-06 00:00:00,HThomas,2011-12-13 13:57:00
2130,Labels,fr-CA,DateOfBirth,Date de naissance :,pat,2011-04-06 00:00:00,daghern,2011-11-29 13:01:00
2131,Labels,fr-CA,SocialInsuranceNumber,Assurance sociale :,pat,2011-04-06 00:00:00,daghern,2015-03-05 13:41:00
2132,Labels,fr-CA,AgeGroup,Groupe d'âge :,pat,2011-04-06 00:00:00,daghern,2011-11-29 09:10:00
2133,Labels,fr-CA,Employment,Emploi :,pat,2011-04-06 00:00:00,daghern,2011-11-30 12:58:00
2134,Labels,fr-CA,Employer,Employeur :,pat,2011-04-06 00:00:00,daghern,2011-11-30 12:56:00
2135,Labels,fr-CA,LengthOfEmployment,Nombre d'années à cet emploi :,pat,2011-04-06 00:00:00,hthomas,2015-02-04 07:30:00
2136,Labels,fr-CA,Work,Travail :,pat,2011-04-06 00:00:00,HThomas,2015-06-10 09:13:00
2137,Labels,fr-CA,Extension,Extension :,pat,2011-04-06 00:00:00,HThomas,2017-07-04 12:35:00
2138,Labels,fr-CA,CellPhone,Cellulaire :,pat,2011-04-06 00:00:00,daghern,2011-11-29 12:26:00
2139,Labels,fr-CA,Email,Courriel :,pat,2011-04-06 00:00:00,daghern,2011-11-30 12:20:00
2140,Labels,fr-CA,EmailNotice,Avis par courriel :,pat,2011-04-06 00:00:00,daghern,2011-12-13 08:20:00
2141,Labels,fr-CA,EmergencyContact,Personne à contacter en cas d'urgence :,pat,2011-04-06 00:00:00,hthomas,2015-02-04 07:20:00
2142,Labels,fr-CA,EmergencyContactPhone,Téléphone de la personne à contacter en cas d'urgence :,pat,2011-04-06 00:00:00,hthomas,2015-02-04 07:22:00
2143,Labels,fr-CA,EmergencyAssistance,Assistance d'urgence :,pat,2011-04-06 00:00:00,HThomas,2015-05-12 09:40:00
2144,Labels,fr-CA,EmergencyAssistanceRequired,Assistance d’urgence demandée :,pat,2011-04-06 00:00:00,HThomas,2015-05-12 09:39:00
2145,Labels,fr-CA,DisabilityType,Type d'invalidité :,pat,2011-04-06 00:00:00,daghern,2011-12-01 09:03:00
2146,Labels,fr-CA,DisabilityNotes,Notes sur l'invalidité :,pat,2011-04-06 00:00:00,daghern,2011-12-01 09:03:00
2322,ValidationMessages,fr-CA,SuiteLeaseAssigned,Ce logement est déjà lié par un bail.,pat,2011-04-06 00:00:00,HThomas,2015-06-04 07:53:00
2323,ValidationMessages,fr-CA,SuiteNumberUniqueByBuilding,"Un logement portant le nº {0} existe déjà pour l'immeuble sélectionné. ",pat,2011-04-06 00:00:00,HThomas,2015-06-04 07:55:00
2324,ValidationMessages,fr-CA,SuiteTypeFloorNumIsValid,{0} doit être égal(e) ou inférieur(e) à {1}.,pat,2011-04-06 00:00:00,HThomas,2011-12-01 13:55:00
2325,ValidationMessages,fr-CA,TaskIsNotVaid,Tâche invalide,pat,2011-04-06 00:00:00,HThomas,2011-12-01 14:14:00
2326,ValidationMessages,fr-CA,TwoProjectsSelectedCanNotBeTheSame,Impossible de sélectionner deux mêmes projets.,pat,2011-04-06 00:00:00,daghern,2011-12-14 09:46:00
2327,ValidationMessages,fr-CA,ValueAlreadyExists,La valeur {0} existe déjà.,pat,2011-04-06 00:00:00,HThomas,2011-12-14 09:20:00
2329,ValidationMessages,fr-CA,CityIDInvalidPrefix,Le code de la ville devrait débuter par {0}.,pat,2011-04-06 00:00:00,hthomas,2015-04-29 12:15:00
2330,ValidationMessages,fr-CA,CityIDIsUnique,La ville de la province sélectionnée possède déjà le code {0}.,pat,2011-04-06 00:00:00,hthomas,2015-04-29 12:13:00
2331,ValidationMessages,fr-CA,CityNameIsUnique,La province sélectionnée possède déjà une ville du nom de {0}.,pat,2011-04-06 00:00:00,daghern,2011-12-01 12:45:00
2332,ValidationMessages,fr-CA,CountryIDIsUnique,Le code du pays {0} est déjà créé.,pat,2011-04-06 00:00:00,hthomas,2015-04-29 12:13:00
2333,ValidationMessages,fr-CA,CountryNameIsUnique,Le nom du pays {0} existe déjà.,pat,2011-04-06 00:00:00,daghern,2011-12-01 12:57:00
2334,ValidationMessages,fr-CA,DateInChangeNotAllowedForPosting,"La date d'occupation initiale fait l'objet de frais comptabilisés. Aucun changement n'est autorisé. ",pat,2011-04-06 00:00:00,daghern,2011-12-06 11:50:00
2335,ValidationMessages,fr-CA,DateInInvalidForNewPosting,La date n'est pas valide pour les écritures. Veuillez décocher la case des écritures ou changer la date.,pat,2011-04-06 00:00:00,HThomas,2015-05-07 13:32:00
2336,ValidationMessages,fr-CA,DateInLaterThanDateOut,La date d'occupation est ultérieure à la date d'inoccupation,pat,2011-04-06 00:00:00,daghern,2011-12-06 11:44:00
910,CommonTerms,fr-CA,Update,Actualiser,pat,2011-04-06 00:00:00,HThomas,2011-12-01 06:45:00
29,CommonTerms,fr-CA,RentalCharge,Frais de location,pat,2011-04-06 00:00:00,HThomas,2011-12-07 09:43:00
30,CommonTerms,fr-CA,RentalInquiryType,Type de demande de location,pat,2011-04-06 00:00:00,HThomas,2011-12-07 09:45:00
31,CommonTerms,fr-CA,RentalInquiryTypeFrench,Provenance (français),pat,2011-04-06 00:00:00,hthomas,2015-03-05 12:23:00
32,CommonTerms,fr-CA,RentalInquiryTypeList,Liste des médias de provenance,pat,2011-04-06 00:00:00,HThomas,2016-03-17 13:50:00
33,CommonTerms,fr-CA,RentalInquiryTypes,Liste de provenances,pat,2011-04-06 00:00:00,daghern,2015-03-05 12:12:00
34,CommonTerms,fr-CA,RentCharge,Frais de location,pat,2011-04-06 00:00:00,HThomas,2011-12-07 09:48:00
35,CommonTerms,fr-CA,Repair,Réparer,pat,2011-04-06 00:00:00,HThomas,2015-06-08 14:03:00
36,CommonTerms,fr-CA,Reserved,Réservé,pat,2011-04-06 00:00:00,HThomas,2011-12-07 11:06:00
37,CommonTerms,fr-CA,Review,Afficher,pat,2011-04-06 00:00:00,HThomas,2016-04-01 08:16:00
38,CommonTerms,fr-CA,ReviewStepInstruction,"Veuillez analyser les informations ci-dessous. Si les informations sont correctes, cliquer sur Terminer. Sinon, reprendre à partir de l'étape à modifier et apporter les correctifs nécessaires.",pat,2011-04-06 00:00:00,HThomas,2015-06-09 08:38:00
39,CommonTerms,fr-CA,Rooms,pièce(s),pat,2011-04-06 00:00:00,HThomas,2024-08-12 06:44:00
40,CommonTerms,fr-CA,RunDate,Date du traitement,pat,2011-04-06 00:00:00,HThomas,2011-12-07 09:18:00
41,CommonTerms,fr-CA,Sale,Vente,pat,2011-04-06 00:00:00,HThomas,2011-12-07 09:18:00
42,CommonTerms,fr-CA,SalesTax,Taxes de vente,pat,2011-04-06 00:00:00,HThomas,2011-12-07 09:19:00
43,CommonTerms,fr-CA,Save,Sauvegarder,pat,2011-04-06 00:00:00,HThomas,2011-12-07 09:22:00
44,CommonTerms,fr-CA,SD,DG,pat,2011-04-06 00:00:00,HThomas,2011-12-14 07:33:00
45,CommonTerms,fr-CA,SDCharged,DG facturé,pat,2011-04-06 00:00:00,HThomas,2011-12-14 07:35:00
46,CommonTerms,fr-CA,SDPaid,DG payé,pat,2011-04-06 00:00:00,HThomas,2011-12-14 07:37:00
758,CommonTerms,fr-CA,SDProvincialInterest,Intérêts de la province du DG,pat,2011-04-06 00:00:00,hthomas,2015-04-29 12:08:00
759,CommonTerms,fr-CA,City,Ville,pat,2011-04-06 00:00:00,daghern,2011-11-30 09:21:00
760,CommonTerms,fr-CA,CityArea,Secteur de la ville,pat,2011-04-06 00:00:00,daghern,2011-11-30 09:21:00
761,CommonTerms,fr-CA,CityAreaFrench,Secteur de la ville (français),pat,2011-04-06 00:00:00,daghern,2011-11-30 09:25:00
762,CommonTerms,fr-CA,CityAreaList,Liste des secteurs de la ville,pat,2011-04-06 00:00:00,daghern,2011-12-05 11:52:00
763,CommonTerms,fr-CA,CityName,Ville,pat,2011-04-06 00:00:00,hthomas,2015-04-29 12:06:00
764,CommonTerms,fr-CA,CloseAFiscalPeriod,Clore l'exercice financier,pat,2011-04-06 00:00:00,HThomas,2017-06-29 08:44:00
765,CommonTerms,fr-CA,ClosedMonth,Mois clos,pat,2011-04-06 00:00:00,HThomas,2017-06-29 08:46:00
766,CommonTerms,fr-CA,CloseFiscalPeriod,Clore l'exercice financier,pat,2011-04-06 00:00:00,HThomas,2017-06-29 08:42:00
767,CommonTerms,fr-CA,CloseMonth,Clore le mois,pat,2011-04-06 00:00:00,HThomas,2017-06-29 08:42:00
768,CommonTerms,fr-CA,CollapseAll,Réduire tout,pat,2011-04-06 00:00:00,daghern,2011-11-30 09:30:00
769,CommonTerms,fr-CA,Colour,Couleur,pat,2011-04-06 00:00:00,daghern,2011-11-29 12:35:00
770,CommonTerms,fr-CA,CombinedPortfolio,Portefeuille combiné,pat,2011-04-06 00:00:00,daghern,2011-11-29 12:36:00
771,CommonTerms,fr-CA,ComboName,Nom du portefeuille,pat,2011-04-06 00:00:00,HThomas,2015-05-06 07:55:00
772,CommonTerms,fr-CA,Comment,Commentaire,pat,2011-04-06 00:00:00,daghern,2011-11-29 12:37:00
773,CommonTerms,fr-CA,Comments,Commentaires,pat,2011-04-06 00:00:00,daghern,2011-11-29 12:37:00
774,CommonTerms,fr-CA,CompanyID,Code de l'entreprise,pat,2011-04-06 00:00:00,hthomas,2015-04-29 12:11:00
775,CommonTerms,fr-CA,CompanyName,Nom de l'entreprise,pat,2011-04-06 00:00:00,HThomas,2015-05-06 07:56:00
776,CommonTerms,fr-CA,CompleteStepInstruction,Le bail a été créé. Quelle serait la prochaine démarche ?,pat,2011-04-06 00:00:00,daghern,2011-12-01 12:49:00
777,CommonTerms,fr-CA,ConfirmDelete,"Cette inscription sera supprimée, voulez-vous poursuivre? ?",pat,2011-04-06 00:00:00,HThomas,2015-12-03 11:58:00
778,CommonTerms,fr-CA,ConfirmInsert,Êtes-vous sûr de vouloir insérer ce dossier ?,pat,2011-04-06 00:00:00,daghern,2012-01-05 07:26:00
779,CommonTerms,fr-CA,ConfirmUpdate,"Ce dossier sera actualisé, voulez-vous poursuivre?",pat,2011-04-06 00:00:00,HThomas,2015-12-03 12:20:00
780,CommonTerms,fr-CA,ContactInformation,Coordonnées,pat,2011-04-06 00:00:00,HThomas,2016-03-17 12:41:00
781,CommonTerms,fr-CA,Contractor,Entrepreneur,pat,2011-04-06 00:00:00,daghern,2011-12-01 09:27:00
782,CommonTerms,fr-CA,Covered,Couvert,pat,2011-04-06 00:00:00,daghern,2011-12-13 08:10:00
783,CommonTerms,fr-CA,Credit,Crédit,pat,2011-04-06 00:00:00,daghern,2011-11-29 12:44:00
784,CommonTerms,fr-CA,Critical,Urgent,pat,2011-04-06 00:00:00,HThomas,2015-05-06 09:23:00
785,CommonTerms,fr-CA,Data,Donnée,pat,2011-04-06 00:00:00,daghern,2011-11-29 13:07:00
786,CommonTerms,fr-CA,Date,Date,pat,2011-04-06 00:00:00,daghern,2011-11-29 12:46:00
787,CommonTerms,fr-CA,DateIn,Date d'occupation,pat,2011-04-06 00:00:00,daghern,2011-12-06 11:43:00
788,CommonTerms,fr-CA,DateOut,Date d'inoccupation,pat,2011-04-06 00:00:00,daghern,2011-12-06 11:43:00
789,CommonTerms,fr-CA,Debit,Débit,pat,2011-04-06 00:00:00,daghern,2011-11-29 13:05:00
790,CommonTerms,fr-CA,Default,Défaut,pat,2011-04-06 00:00:00,daghern,2011-12-07 09:00:00
791,CommonTerms,fr-CA,Delete,Supprimer,pat,2011-04-06 00:00:00,daghern,2011-11-29 13:02:00
792,CommonTerms,fr-CA,Desc,Description,pat,2011-04-06 00:00:00,daghern,2011-11-29 13:03:00
6674,CommonTerms,en-US,AddressDuration,Address Duration,Pat,2012-01-19 00:00:00,,NULL
4503,CommonTerms,en-US,EmailDoNotReply,********************************************************************************  PLEASE DO NOT REPLY BACK TO THIS EMAIL AS IT IS SENT FROM AN UNMONITORED MAILBOX.  THANK YOU  *******************************************************************************,pat,2011-04-06 00:00:00,,NULL
4504,CommonTerms,fr-CA,EmailDoNotReply,********************************************************************************  MERCI DE NE PAS RÉPONDRE À CE COURRIEL ENVOYÉ D'UNE ADRESSE ÉLECTRONIQUE AUTOMATISÉE NON CONTRÔLÉE. *******************************************************************************,pat,2011-04-06 00:00:00,HThomas,2015-05-12 09:34:00
4505,CommonTerms,en-US,EmailDoNotReplyWithReplyTo,"********************************************************************************  PLEASE DO NOT REPLY BACK TO THIS EMAIL AS IT IS SENT FROM AN UNMONITORED MAILBOX.  INSTEAD, PLEASE REPLY TO {0}.  THANK YOU  ************************************************",pat,2011-04-06 00:00:00,,NULL
